;;62.954545;65.772727;21.181818;23.863636;37.000000;40.136364
;;33.636364;36.772727;37.227273;39.681818;22.227273;38.272727
;;18.818182;22.136364;38.772727;41.000000;9.909091;29.909091
;;7.909091;11.818182;26.363636;29.454545;18.590909;7.772727
;;19.318182;24.409091;5.772727;9.681818;40.090909;8.454545
;;39.363636;42.500000;8.772727;11.272727;45.227273;10.090909
;;44.727273;47.863636;7.590909;9.954545;59.818182;7.227273
;;60.590909;65.863636;5.409091;9.318182;66.136364;20.863636
;;62.954545;65.772727;21.181818;23.863636;60.318182;19.818182
;;60.318182;63.363636;16.863636;19.363636;58.909091;11.818182
;;54.590909;58.227273;9.909091;13.818182;47.863636;13.909091
;;44.681818;47.681818;14.318182;16.863636;39.363636;17.136364
;;36.954545;40.181818;14.409091;16.681818;27.000000;12.318182
;;21.909091;26.318182;10.318182;14.272727;14.590909;25.727273
;;12.681818;16.636364;26.318182;29.500000;20.909091;31.909091
;;20.818182;23.909091;28.954545;31.363636;34.272727;30.000000
;;34.136364;37.181818;30.545455;33.136364;60.318182;19.818182
