;;31.272727;34.500000;15.318182;17.590909;20.772727;41.772727
;;21.363636;26.636364;39.818182;43.727273;39.954545;41.681818
;;39.363636;42.500000;39.181818;41.545455;45.454545;37.727273
;;44.727273;47.863636;37.863636;40.363636;62.136364;41.409091
;;62.818182;67.909091;39.454545;43.363636;77.409091;23.318182
;;75.409091;79.318182;19.681818;22.772727;68.318182;7.863636
;;65.090909;68.409091;8.136364;10.363636;53.727273;12.272727
;;50.454545;53.590909;9.454545;11.909091;34.636364;14.954545
;;31.272727;34.500000;15.318182;17.590909;35.772727;20.590909
;;35.636364;38.818182;17.818182;20.181818;50.272727;15.590909
;;50.045455;53.090909;16.000000;18.590909;63.500000;20.590909
;;63.318182;66.409091;17.772727;20.181818;72.636364;19.181818
;;70.590909;74.545455;19.636364;22.818182;65.909091;36.818182
;;60.909091;65.318182;34.863636;38.818182;49.500000;34.954545
;;47.045455;50.272727;32.454545;34.727273;42.590909;32.045455
;;39.545455;42.545455;32.272727;34.818182;33.181818;37.181818
;;29.000000;32.636364;35.318182;39.227273;35.772727;20.590909
